"","name","desc","langCat"
"488","Winter","A Rebel agent known as ""Targeter"" who goes on to be an aide to Leia Organa Solo and Admiral Ackbar. In the expanded universe she marries Tycho Celchu. She cares for Admiral Ackbar as he gets old and is with him when he dies. She also, in the Fate of the Jedi Series, aids Jaina Solo and the Darkmeld in their missions. She also took care of Jacen, Jaina and Anakin Solo when they were little. They originally considered her their mother, not Leia, because she had taken care of them.","german"
"489","Wittin","Jawa from Return of the Jedi.","finnish"
"490","Commander Wolffe","A clone commander who led the 104th Battalion's Wolfpack under Jedi General Plo Koon in Star Wars: The Clone Wars.","danish"
"491","Wuher","Bartender at the Mos Eisley Cantina in A New Hope.","middle_frisian"
"492","Darth Wyyrlok","Chagrian Sith Lord who served as Darth Krayt's second-in-command. Briefly replaced Krayt as Emperor after Krayt's apparent death, but was killed by Krayt after he was resurrected. He was the third generation of his family to take the name ""Darth Wyyrlok"".","middle_frisian"
"493","X1","Force-sensitive clone trooper and antagonist in Star Wars Battlefront: Elite Squadron.",NA
"494","X2","Force-sensitive clone trooper and protagonist in Elite Squadron.",NA
"495","Xanatos","In Jude Watson's Jedi Apprentice series, Xanatos is the former padawan of Qui-Gon Jinn who turned to the dark side of the Force.","spanish"
"496","Prince Xizor","A character in Star Wars: Shadows of the Empire. Little is known about his past. He is head of the Black Sun criminal syndicate, depicted ""like the Godfather with a reptilian overlay."" He puts a hit on Luke Skywalker, so that Darth Vader will suffer the emperor's wrath and he will become his apprentice and his grip on the galaxy will be supreme. He has the ability to secrete pheremones, which he can use to attract women. He tried this with only partial success on Leia. According to Forces of Corruption, Xizor is apparently killed after the game's protagonist frames him. The character's name was inspired by a Portuguese name, Xico.","romanian"
"497","Yaddle","Female member of Yoda's species. She is also known as ""The One Below"". Yaddle is a member of the Jedi Council in The Phantom Menace. Iain McCaig's concept art was originally a depiction of a young Yoda, conveying youth, pain, and wisdom inspired. This work was used to create Yaddle.","estonian"
"498","Yané","She is the youngest of Padmé Amidala's handmaidens in Star Wars Episode I: The Phantom Menace.","slovak-windows1250"
"499","Yoda","Jedi master who trained Count Dooku and Luke Skywalker. His homeworld is unknown, but he goes into exile on Dagobah after the fall of the Republic in Star Wars Episode III: Revenge of the Sith.","bosnian"
"500","Joh Yowza","A Yuzzum only seen in the Special Edition of Star Wars Episode VI: Return of the Jedi. He is a member of the Max Rebo Band.","polish"
"501","Wullf Yularen","Admiral in the Republic Navy who served during the Clone Wars as the leader of Anakin Skywalker's fleet. He became an Imperial officer after the Empire came to power and served aboard the first Death Star. Seen in A New Hope. He usually speaks the second half of his sentences before the first half; however, if his sentence is short enough, he doesn't.","basque"
"502","Zaalbar","Wookiee friend of Revan; aided him in his quest to find and destroy the Star Forge. A playable character in Star Wars: Knights of the Old Republic.","indonesian"
"503","Demetrius Zaarin","Imperial Grand Admiral who served as the Imperial Navy's head of starfighter research and development. He later becomes dissastified with Palpatine's rule as Emperor and attempts to overthrow him, but is stopped by Darth Vader and Grand Admiral Thrawn.","dutch"
"504","Jenna Zan Arbor","Megalomaniacal scientist who wanted to learn the secrets of the Force. To do this, she kidnapped and tortured Jedi, and later drained their bodies of their blood. During the Clone Wars she worked with the CIS.","scots"
"505","Tyber Zann","Leader of the Zann Consortium, a criminal organization in the video game Empire At War: Forces of Corruption.","scots_gaelic"
"506","Darth Zannah","First featured in Darth Bane: Path of Destruction as a 10-year-old girl, in Darth Bane: Rule of Two she is apprenticed to Darth Bane, Finally in Darth Bane: Dynasty of Evil"" she takes the mantle of Dark Lord of the Sith from her Master.","irish"
"507","Fang Zar","Senator who represented the Sern sector during the last years of the Galactic Republic. He was one of the senators on the Delegation of 2000. In Dark Lord: The Rise of Darth Vader, he went into hiding on the planet Alderaan, but was found and executed by Darth Vader.","indonesian"
"508","Zekk","Jedi friend of Jacen and Jaina Solo, appearing in Young Jedi Knights, The New Jedi Order, Legacy of the Force and Fate of the Jedi series. In Fate of the Jedi, he marries Taryn Zel.","hungarian"
"509","Ziro the Hutt","Jabba the Hutt's flamboyant uncle who appears in the Clone Wars series. He is also Mama the Hutt's son.","scots"
"510","Zorba the Hutt","Jabba the Hutt's father and baron of Cloud City after Lando Calrissian. First appears in Zorba the Hutt's Revenge.","scots"
"511","Warlord Zsinj","An Imperial general who commands a splinter faction of the former Empire in The Courtship of Princess Leia.","slovenian-iso8859_2"
"512","Zuckuss","Gand Bounty hunter appearing in The Empire Strikes Back. Zuckuss is an ammonia-breathing Gand findsman. He employs special religious rituals to locate his quarry.","swedish"
"513","Commodore Zuggs","An officer in the Imperial Starfleet and also later serves under Trioculus. First featured in The Lost City of the Jedi and later returns in Star Wars: Rebellion.","catalan"
